Region,Year,Type of alcoholic beverages,Consumption of alcoholic beverages (thousands of decaliters),Consumption of alcoholic beverages (in liters per capita),Consumption of alcoholic beverages (in liters of pure alcohol per capita)
Samara Oblast,2018,Ñider,131.98,0.41,0.02
Saratov Oblast,2018,Ñider,70.62,0.28,0.01
Ulyanovsk Oblast,2018,Ñider,41.60,0.34,0.02
Kurgan Oblast,2018,Ñider,35.83,0.43,0.02
Sverdlovsk Oblast,2018,Ñider,178.80,0.41,0.02
Khanty–Mansi Autonomous Okrug – Yugra,2018,Ñider,59.80,0.36,0.02
Yamalo-Nenets Autonomous Okrug,2018,Ñider,18.26,0.36,0.02
Chelyabinsk Oblast,2018,Ñider,121.72,0.35,0.02
Tyumen Oblast,2018,Ñider,69.88,0.46,0.02
Altai Republic,2018,Ñider,2.42,0.11,0.01
Tuva,2018,Ñider,0.62,0.02,0.00
Khakassia,2018,Ñider,7.65,0.14,0.01
Altai Krai,2018,Ñider,32.38,0.14,0.01
Krasnoyarsk Krai,2018,Ñider,56.71,0.20,0.01
Irkutsk Oblast,2018,Ñider,76.28,0.32,0.02
Kemerovo Oblast,2018,Ñider,56.95,0.21,0.01
Novosibirsk Oblast,2018,Ñider,127.45,0.46,0.02
Omsk Oblast,2018,Ñider,48.47,0.25,0.01
Tomsk Oblast,2018,Ñider,25.95,0.24,0.01
Buryatia,2018,Ñider,22.14,0.23,0.01
Sakha (Yakutia),2018,Ñider,21.23,0.22,0.01
Zabaykalsky Krai,2018,Ñider,25.30,0.24,0.01
Kamchatka Krai,2018,Ñider,13.56,0.45,0.02
Primorsky Krai,2018,Ñider,393.09,2.07,0.10
Khabarovsk Krai,2018,Ñider,99.80,0.75,0.04
Amur Oblast,2018,Ñider,63.69,0.80,0.04
Magadan Oblast,2018,Ñider,6.04,0.42,0.02
Sakhalin Oblast,2018,Ñider,12.72,0.27,0.01
Jewish Autonomous Oblast,2018,Ñider,4.53,0.28,0.01
Chukotka Autonomous Okrug,2018,Ñider,0.54,0.11,0.01
Belgorod Oblast,2019,Ñider,97.93,0.63,0.03
Bryansk Oblast,2019,Ñider,51.36,0.43,0.02
Vladimir Oblast,2019,Ñider,80.68,0.58,0.03
Voronezh Oblast,2019,Ñider,99.12,0.42,0.02
Ivanovo Oblast,2019,Ñider,35.03,0.36,0.02
Kaluga Oblast,2019,Ñider,50.80,0.48,0.02
Kostroma Oblast,2019,Ñider,16.89,0.28,0.01
Kursk Oblast,2019,Ñider,38.98,0.35,0.02
Lipetsk Oblast,2019,Ñider,39.84,0.34,0.02
Moscow Oblast,2019,Ñider,557.79,0.68,0.03
Oryol Oblast,2019,Ñider,29.34,0.40,0.02
Ryazan Oblast,2019,Ñider,64.81,0.58,0.03
Smolensk Oblast,2019,Ñider,47.57,0.51,0.03
Tambov Oblast,2019,Ñider,31.03,0.31,0.02
Tver Oblast,2019,Ñider,63.39,0.50,0.03
Tula Oblast,2019,Ñider,73.59,0.48,0.02
Yaroslavl Oblast,2019,Ñider,63.79,0.51,0.03
Moscow,2019,Ñider,1007.20,0.79,0.04
Republic of Karelia,2019,Ñider,49.87,0.89,0.04
Komi Republic,2019,Ñider,30.34,0.39,0.02
Nenets Autonomous Okrug,2019,Ñider,1.06,0.25,0.01
Vologda Oblast,2019,Ñider,51.13,0.44,0.02
Kaliningrad Oblast,2019,Ñider,105.65,1.05,0.05
Leningrad Oblast,2019,Ñider,156.52,0.82,0.04
Murmansk Oblast,2019,Ñider,48.93,0.70,0.03
Novgorod Oblast,2019,Ñider,36.21,0.61,0.03
Pskov Oblast,2019,Ñider,49.53,0.80,0.04
Saint Petersburg,2019,Ñider,660.08,1.19,0.06
Arkhangelsk Oblast,2019,Ñider,40.38,0.39,0.02
Adygea,2019,Ñider,20.75,0.44,0.02
Kalmykia,2019,Ñider,1.27,0.05,0.00
Republic of Crimea,2019,Ñider,126.37,0.65,0.03
Krasnodar Krai,2019,Ñider,167.05,0.29,0.01
Astrakhan Oblast,2019,Ñider,19.91,0.20,0.01
Volgograd Oblast,2019,Ñider,52.64,0.21,0.01
Rostov Oblast,2019,Ñider,128.94,0.30,0.02
Sevastopol,2019,Ñider,40.22,0.81,0.04
Dagestan,2019,Ñider,0.00,0.00,0.00
Ingushetia,2019,Ñider,0.00,0.00,0.00
Kabardino-Balkaria,2019,Ñider,1.46,0.02,0.00
Karachay-Cherkessia,2019,Ñider,0.98,0.02,0.00
North Ossetia-Alania,2019,Ñider,2.24,0.03,0.00
Chechnya,2019,Ñider,0.14,0.00,0.00
Stavropol Krai,2019,Ñider,28.74,0.10,0.00
Bashkortostan,2019,Ñider,89.81,0.22,0.01
Mari El,2019,Ñider,16.73,0.24,0.01
Mordovia,2019,Ñider,17.09,0.21,0.01
Tatarstan,2019,Ñider,106.69,0.27,0.01
Udmurtia,2019,Ñider,69.64,0.47,0.02
Chuvashia,2019,Ñider,22.17,0.18,0.01
Perm Krai,2019,Ñider,100.91,0.39,0.02
Kirov Oblast,2019,Ñider,37.37,0.31,0.02
Nizhny Novgorod Oblast,2019,Ñider,181.67,0.57,0.03
Orenburg Oblast,2019,Ñider,32.20,0.17,0.01
Penza Oblast,2019,Ñider,42.83,0.33,0.02
Samara Oblast,2019,Ñider,128.26,0.40,0.02
Saratov Oblast,2019,Ñider,70.71,0.28,0.01
Ulyanovsk Oblast,2019,Ñider,39.01,0.32,0.02
Kurgan Oblast,2019,Ñider,16.99,0.21,0.01
Sverdlovsk Oblast,2019,Ñider,182.64,0.42,0.02
Khanty–Mansi Autonomous Okrug – Yugra,2019,Ñider,63.14,0.38,0.02
Yamalo-Nenets Autonomous Okrug,2019,Ñider,20.36,0.40,0.02
Chelyabinsk Oblast,2019,Ñider,129.36,0.37,0.02
Tyumen Oblast,2019,Ñider,77.64,0.50,0.02
Altai Republic,2019,Ñider,2.11,0.10,0.00
Tuva,2019,Ñider,1.05,0.03,0.00
Khakassia,2019,Ñider,7.27,0.13,0.01
Altai Krai,2019,Ñider,37.24,0.17,0.01
Krasnoyarsk Krai,2019,Ñider,63.02,0.22,0.01
Irkutsk Oblast,2019,Ñider,93.16,0.39,0.02
Kemerovo Oblast,2019,Ñider,68.07,0.26,0.01
Novosibirsk Oblast,2019,Ñider,241.57,0.86,0.04
Omsk Oblast,2019,Ñider,48.93,0.25,0.01
Tomsk Oblast,2019,Ñider,24.61,0.23,0.01
Buryatia,2019,Ñider,26.96,0.28,0.01
Sakha (Yakutia),2019,Ñider,20.44,0.21,0.01
Zabaykalsky Krai,2019,Ñider,17.32,0.17,0.01
Kamchatka Krai,2019,Ñider,18.45,0.62,0.03
Primorsky Krai,2019,Ñider,94.37,0.50,0.03
Khabarovsk Krai,2019,Ñider,108.42,0.82,0.04
Amur Oblast,2019,Ñider,50.94,0.65,0.03
Magadan Oblast,2019,Ñider,3.88,0.28,0.01
Sakhalin Oblast,2019,Ñider,23.21,0.49,0.02
Jewish Autonomous Oblast,2019,Ñider,6.34,0.40,0.02
Chukotka Autonomous Okrug,2019,Ñider,0.25,0.05,0.00
Belgorod Oblast,2020,Ñider,135.95,0.88,0.04
Bryansk Oblast,2020,Ñider,54.48,0.46,0.02
Vladimir Oblast,2020,Ñider,74.28,0.54,0.03
Voronezh Oblast,2020,Ñider,123.04,0.53,0.03
Ivanovo Oblast,2020,Ñider,39.51,0.41,0.02
Kaluga Oblast,2020,Ñider,56.83,0.54,0.03
Kostroma Oblast,2020,Ñider,19.27,0.32,0.02
Kursk Oblast,2020,Ñider,46.59,0.42,0.02
Lipetsk Oblast,2020,Ñider,53.17,0.46,0.02
Moscow Oblast,2020,Ñider,659.47,0.79,0.04
Oryol Oblast,2020,Ñider,34.68,0.47,0.02
Ryazan Oblast,2020,Ñider,74.60,0.67,0.03
Smolensk Oblast,2020,Ñider,42.29,0.46,0.02
Tambov Oblast,2020,Ñider,33.72,0.34,0.02
Tver Oblast,2020,Ñider,71.76,0.57,0.03
Tula Oblast,2020,Ñider,79.82,0.53,0.03
Yaroslavl Oblast,2020,Ñider,76.22,0.62,0.03
Moscow,2020,Ñider,964.56,0.75,0.04
Republic of Karelia,2020,Ñider,50.89,0.92,0.05
Komi Republic,2020,Ñider,34.35,0.45,0.02
Nenets Autonomous Okrug,2020,Ñider,1.38,0.33,0.02
Vologda Oblast,2020,Ñider,56.55,0.49,0.02
Kaliningrad Oblast,2020,Ñider,181.22,1.78,0.09
Leningrad Oblast,2020,Ñider,196.04,1.00,0.05
Murmansk Oblast,2020,Ñider,59.47,0.86,0.04
Novgorod Oblast,2020,Ñider,36.76,0.62,0.03
Pskov Oblast,2020,Ñider,43.93,0.72,0.04
Saint Petersburg,2020,Ñider,696.36,1.25,0.06
Arkhangelsk Oblast,2020,Ñider,56.44,0.56,0.03
Adygea,2020,Ñider,25.10,0.51,0.03
Kalmykia,2020,Ñider,2.05,0.08,0.00
Republic of Crimea,2020,Ñider,120.42,0.62,0.03
Krasnodar Krai,2020,Ñider,206.07,0.36,0.02
Astrakhan Oblast,2020,Ñider,23.28,0.24,0.01
Volgograd Oblast,2020,Ñider,62.48,0.25,0.01
Rostov Oblast,2020,Ñider,147.45,0.35,0.02
Sevastopol,2020,Ñider,29.06,0.56,0.03
Dagestan,2020,Ñider,1.33,0.00,0.00
Ingushetia,2020,Ñider,0.00,0.00,0.00
Kabardino-Balkaria,2020,Ñider,1.53,0.02,0.00
Karachay-Cherkessia,2020,Ñider,1.02,0.02,0.00
North Ossetia-Alania,2020,Ñider,1.77,0.03,0.00
Chechnya,2020,Ñider,0.25,0.00,0.00
Stavropol Krai,2020,Ñider,43.99,0.15,0.01
Bashkortostan,2020,Ñider,104.01,0.25,0.01
Mari El,2020,Ñider,17.90,0.26,0.01
Mordovia,2020,Ñider,20.54,0.26,0.01
Tatarstan,2020,Ñider,119.74,0.30,0.01
Udmurtia,2020,Ñider,98.34,0.67,0.03
Chuvashia,2020,Ñider,30.37,0.25,0.01
Perm Krai,2020,Ñider,108.23,0.42,0.02
Kirov Oblast,2020,Ñider,41.56,0.35,0.02
Nizhny Novgorod Oblast,2020,Ñider,237.35,0.75,0.04
Orenburg Oblast,2020,Ñider,37.94,0.20,0.01
Penza Oblast,2020,Ñider,45.96,0.36,0.02
Samara Oblast,2020,Ñider,156.83,0.49,0.02
Saratov Oblast,2020,Ñider,87.51,0.35,0.02
Ulyanovsk Oblast,2020,Ñider,35.27,0.29,0.01
Kurgan Oblast,2020,Ñider,20.18,0.25,0.01
Sverdlovsk Oblast,2020,Ñider,218.93,0.51,0.03
Khanty–Mansi Autonomous Okrug – Yugra,2020,Ñider,101.91,0.61,0.03
Yamalo-Nenets Autonomous Okrug,2020,Ñider,24.24,0.48,0.02
Chelyabinsk Oblast,2020,Ñider,167.82,0.48,0.02
Tyumen Oblast,2020,Ñider,100.04,0.63,0.03
Altai Republic,2020,Ñider,2.12,0.10,0.01
Tuva,2020,Ñider,0.39,0.01,0.00
Khakassia,2020,Ñider,9.31,0.17,0.01
Altai Krai,2020,Ñider,35.24,0.16,0.01
Krasnoyarsk Krai,2020,Ñider,68.76,0.24,0.01
Irkutsk Oblast,2020,Ñider,98.19,0.41,0.02
Kemerovo Oblast,2020,Ñider,80.38,0.30,0.02
Novosibirsk Oblast,2020,Ñider,150.83,0.54,0.03
Omsk Oblast,2020,Ñider,69.67,0.37,0.02
Tomsk Oblast,2020,Ñider,33.11,0.31,0.02
Buryatia,2020,Ñider,26.52,0.27,0.01
Sakha (Yakutia),2020,Ñider,23.60,0.24,0.01
Zabaykalsky Krai,2020,Ñider,14.18,0.14,0.01
Kamchatka Krai,2020,Ñider,23.29,0.79,0.04
Primorsky Krai,2020,Ñider,113.89,0.61,0.03
Khabarovsk Krai,2020,Ñider,113.52,0.87,0.04
Amur Oblast,2020,Ñider,43.21,0.55,0.03
Magadan Oblast,2020,Ñider,3.56,0.26,0.01
Sakhalin Oblast,2020,Ñider,28.67,0.61,0.03
Jewish Autonomous Oblast,2020,Ñider,10.27,0.66,0.03
Chukotka Autonomous Okrug,2020,Ñider,1.03,0.21,0.01
Belgorod Oblast,2021,Ñider,141.24,0.91,0.05
Bryansk Oblast,2021,Ñider,54.62,0.46,0.02
Vladimir Oblast,2021,Ñider,80.18,0.59,0.03
Voronezh Oblast,2021,Ñider,123.02,0.53,0.03
Ivanovo Oblast,2021,Ñider,38.47,0.41,0.02
Kaluga Oblast,2021,Ñider,59.82,0.57,0.03
Kostroma Oblast,2021,Ñider,19.41,0.33,0.02
Kursk Oblast,2021,Ñider,35.49,0.33,0.02
Lipetsk Oblast,2021,Ñider,49.21,0.43,0.02
Moscow Oblast,2021,Ñider,710.58,0.84,0.04
Oryol Oblast,2021,Ñider,32.01,0.44,0.02
Ryazan Oblast,2021,Ñider,89.80,0.81,0.04
Smolensk Oblast,2021,Ñider,44.82,0.50,0.02
Tambov Oblast,2021,Ñider,37.94,0.38,0.02
Tver Oblast,2021,Ñider,67.93,0.55,0.03
Tula Oblast,2021,Ñider,85.68,0.57,0.03
Yaroslavl Oblast,2021,Ñider,82.47,0.68,0.03
Moscow,2021,Ñider,2272.12,1.75,0.09
Republic of Karelia,2021,Ñider,55.02,1.02,0.05
Komi Republic,2021,Ñider,37.61,0.50,0.03
Nenets Autonomous Okrug,2021,Ñider,2.59,0.62,0.03
Vologda Oblast,2021,Ñider,61.70,0.54,0.03
Kaliningrad Oblast,2021,Ñider,159.87,1.56,0.08
Leningrad Oblast,2021,Ñider,219.04,1.11,0.06
Murmansk Oblast,2021,Ñider,67.60,1.00,0.05
Novgorod Oblast,2021,Ñider,53.56,0.91,0.05
Pskov Oblast,2021,Ñider,41.12,0.68,0.03
Saint Petersburg,2021,Ñider,691.08,1.24,0.06
Arkhangelsk Oblast,2021,Ñider,68.83,0.69,0.03
Adygea,2021,Ñider,19.70,0.40,0.02
Kalmykia,2021,Ñider,1.47,0.05,0.00
Republic of Crimea,2021,Ñider,145.12,0.75,0.04
Krasnodar Krai,2021,Ñider,257.69,0.44,0.02
Astrakhan Oblast,2021,Ñider,18.37,0.19,0.01
Volgograd Oblast,2021,Ñider,53.48,0.21,0.01
Rostov Oblast,2021,Ñider,156.50,0.37,0.02
Sevastopol,2021,Ñider,32.78,0.62,0.03
Dagestan,2021,Ñider,1.19,0.00,0.00
Ingushetia,2021,Ñider,0.03,0.00,0.00
Kabardino-Balkaria,2021,Ñider,2.99,0.03,0.00
Karachay-Cherkessia,2021,Ñider,1.61,0.03,0.00
North Ossetia-Alania,2021,Ñider,2.85,0.04,0.00
Chechnya,2021,Ñider,2.29,0.02,0.00
Stavropol Krai,2021,Ñider,60.16,0.21,0.01
Bashkortostan,2021,Ñider,265.55,0.65,0.03
Mari El,2021,Ñider,19.23,0.28,0.01
Mordovia,2021,Ñider,19.96,0.25,0.01
Tatarstan,2021,Ñider,138.84,0.35,0.02
Udmurtia,2021,Ñider,56.00,0.38,0.02
Chuvashia,2021,Ñider,25.86,0.22,0.01
Perm Krai,2021,Ñider,105.15,0.41,0.02
Kirov Oblast,2021,Ñider,38.02,0.32,0.02
Nizhny Novgorod Oblast,2021,Ñider,248.92,0.79,0.04
Orenburg Oblast,2021,Ñider,37.17,0.20,0.01
Penza Oblast,2021,Ñider,43.73,0.34,0.02
Samara Oblast,2021,Ñider,145.34,0.46,0.02
Saratov Oblast,2021,Ñider,80.17,0.33,0.02
Ulyanovsk Oblast,2021,Ñider,43.99,0.36,0.02
Kurgan Oblast,2021,Ñider,16.73,0.21,0.01
Sverdlovsk Oblast,2021,Ñider,202.98,0.47,0.02
Khanty–Mansi Autonomous Okrug – Yugra,2021,Ñider,78.55,0.46,0.02
Yamalo-Nenets Autonomous Okrug,2021,Ñider,21.48,0.42,0.02
Chelyabinsk Oblast,2021,Ñider,135.22,0.39,0.02
Tyumen Oblast,2021,Ñider,123.25,0.78,0.04
Altai Republic,2021,Ñider,3.73,0.18,0.01
Tuva,2021,Ñider,1.23,0.04,0.00
Khakassia,2021,Ñider,8.78,0.16,0.01
Altai Krai,2021,Ñider,49.09,0.22,0.01
Krasnoyarsk Krai,2021,Ñider,77.70,0.27,0.01
Irkutsk Oblast,2021,Ñider,99.19,0.42,0.02
Kemerovo Oblast,2021,Ñider,92.71,0.35,0.02
Novosibirsk Oblast,2021,Ñider,198.54,0.71,0.04
Omsk Oblast,2021,Ñider,74.56,0.40,0.02
Tomsk Oblast,2021,Ñider,50.09,0.47,0.02
Buryatia,2021,Ñider,26.61,0.27,0.01
Sakha (Yakutia),2021,Ñider,42.09,0.43,0.02
Zabaykalsky Krai,2021,Ñider,18.76,0.18,0.01
Kamchatka Krai,2021,Ñider,20.45,0.70,0.03
Primorsky Krai,2021,Ñider,145.73,0.78,0.04
Khabarovsk Krai,2021,Ñider,110.19,0.85,0.04
Amur Oblast,2021,Ñider,40.02,0.52,0.03
Magadan Oblast,2021,Ñider,4.55,0.33,0.02
Sakhalin Oblast,2021,Ñider,33.88,0.72,0.04
Jewish Autonomous Oblast,2021,Ñider,9.65,0.63,0.03
Chukotka Autonomous Okrug,2021,Ñider,0.83,0.17,0.01
Belgorod Oblast,2022,Ñider,158.84,1.03,0.05
Bryansk Oblast,2022,Ñider,53.47,0.46,0.02
Vladimir Oblast,2022,Ñider,82.38,0.61,0.03
Voronezh Oblast,2022,Ñider,123.35,0.54,0.03
Ivanovo Oblast,2022,Ñider,40.32,0.44,0.02
Kaluga Oblast,2022,Ñider,62.10,0.58,0.03
Kostroma Oblast,2022,Ñider,23.49,0.41,0.02
Kursk Oblast,2022,Ñider,42.40,0.39,0.02
Lipetsk Oblast,2022,Ñider,46.00,0.40,0.02
Moscow Oblast,2022,Ñider,795.19,0.93,0.05
Oryol Oblast,2022,Ñider,31.47,0.44,0.02
Ryazan Oblast,2022,Ñider,81.32,0.74,0.04
Smolensk Oblast,2022,Ñider,45.77,0.52,0.03
Tambov Oblast,2022,Ñider,30.17,0.31,0.02
Tver Oblast,2022,Ñider,68.23,0.56,0.03
Tula Oblast,2022,Ñider,79.27,0.53,0.03
Yaroslavl Oblast,2022,Ñider,88.88,0.74,0.04
Moscow,2022,Ñider,1052.54,0.81,0.04
Republic of Karelia,2022,Ñider,51.68,0.97,0.05
Komi Republic,2022,Ñider,41.97,0.57,0.03
Nenets Autonomous Okrug,2022,Ñider,2.22,0.54,0.03
Vologda Oblast,2022,Ñider,59.03,0.52,0.03
Kaliningrad Oblast,2022,Ñider,141.05,1.37,0.07
Leningrad Oblast,2022,Ñider,233.69,1.16,0.06
Murmansk Oblast,2022,Ñider,67.03,1.01,0.05
Novgorod Oblast,2022,Ñider,47.11,0.81,0.04
Pskov Oblast,2022,Ñider,86.84,1.45,0.07
Saint Petersburg,2022,Ñider,679.37,1.21,0.06
Arkhangelsk Oblast,2022,Ñider,65.97,0.68,0.03
Adygea,2022,Ñider,15.57,0.31,0.02
Kalmykia,2022,Ñider,2.97,0.11,0.01
Republic of Crimea,2022,Ñider,146.09,0.76,0.04
Krasnodar Krai,2022,Ñider,290.07,0.50,0.02
Astrakhan Oblast,2022,Ñider,19.13,0.20,0.01
Volgograd Oblast,2022,Ñider,66.98,0.27,0.01
Rostov Oblast,2022,Ñider,157.20,0.37,0.02
Sevastopol,2022,Ñider,38.12,0.70,0.03
Dagestan,2022,Ñider,5.07,0.02,0.00
Ingushetia,2022,Ñider,0.05,0.00,0.00
Kabardino-Balkaria,2022,Ñider,1.70,0.02,0.00
Karachay-Cherkessia,2022,Ñider,1.69,0.04,0.00
North Ossetia-Alania,2022,Ñider,2.78,0.04,0.00
Chechnya,2022,Ñider,2.77,0.02,0.00
Stavropol Krai,2022,Ñider,47.50,0.16,0.01
Bashkortostan,2022,Ñider,118.57,0.29,0.01
Mari El,2022,Ñider,26.38,0.39,0.02
Mordovia,2022,Ñider,24.94,0.32,0.02
Tatarstan,2022,Ñider,179.45,0.45,0.02
Udmurtia,2022,Ñider,62.44,0.43,0.02
Chuvashia,2022,Ñider,35.51,0.30,0.01
Perm Krai,2022,Ñider,114.82,0.45,0.02
Kirov Oblast,2022,Ñider,43.45,0.38,0.02
Nizhny Novgorod Oblast,2022,Ñider,260.65,0.84,0.04
Orenburg Oblast,2022,Ñider,44.56,0.24,0.01
Penza Oblast,2022,Ñider,46.40,0.37,0.02
Samara Oblast,2022,Ñider,140.12,0.44,0.02
Saratov Oblast,2022,Ñider,89.41,0.37,0.02
Ulyanovsk Oblast,2022,Ñider,66.36,0.56,0.03
Kurgan Oblast,2022,Ñider,20.61,0.27,0.01
Sverdlovsk Oblast,2022,Ñider,238.40,0.56,0.03
Khanty–Mansi Autonomous Okrug – Yugra,2022,Ñider,96.63,0.56,0.03
Yamalo-Nenets Autonomous Okrug,2022,Ñider,23.96,0.47,0.02
Chelyabinsk Oblast,2022,Ñider,165.65,0.48,0.02
Tyumen Oblast,2022,Ñider,155.96,0.97,0.05
Altai Republic,2022,Ñider,5.44,0.26,0.01
Tuva,2022,Ñider,1.93,0.06,0.00
Khakassia,2022,Ñider,11.73,0.22,0.01
Altai Krai,2022,Ñider,62.21,0.29,0.01
Krasnoyarsk Krai,2022,Ñider,89.65,0.31,0.02
Irkutsk Oblast,2022,Ñider,100.55,0.43,0.02
Kemerovo Oblast,2022,Ñider,107.19,0.41,0.02
Novosibirsk Oblast,2022,Ñider,224.38,0.80,0.04
Omsk Oblast,2022,Ñider,81.15,0.44,0.02
Tomsk Oblast,2022,Ñider,59.86,0.56,0.03
Buryatia,2022,Ñider,26.88,0.27,0.01
Sakha (Yakutia),2022,Ñider,56.76,0.57,0.03
Zabaykalsky Krai,2022,Ñider,20.66,0.21,0.01
Kamchatka Krai,2022,Ñider,31.25,1.07,0.05
Primorsky Krai,2022,Ñider,180.31,0.98,0.05
Khabarovsk Krai,2022,Ñider,110.54,0.86,0.04
Amur Oblast,2022,Ñider,37.75,0.49,0.02
Magadan Oblast,2022,Ñider,6.81,0.50,0.03
Sakhalin Oblast,2022,Ñider,47.32,1.02,0.05
Jewish Autonomous Oblast,2022,Ñider,8.54,0.57,0.03
Chukotka Autonomous Okrug,2022,Ñider,0.79,0.16,0.01
Belgorod Oblast,2023,Ñider,181.98,1.20,0.06
Bryansk Oblast,2023,Ñider,57.69,0.50,0.03
Vladimir Oblast,2023,Ñider,118.62,0.89,0.04
Voronezh Oblast,2023,Ñider,155.86,0.68,0.03
Ivanovo Oblast,2023,Ñider,46.20,0.51,0.03
Kaluga Oblast,2023,Ñider,75.11,0.70,0.04
Kostroma Oblast,2023,Ñider,25.69,0.45,0.02
Kursk Oblast,2023,Ñider,53.42,0.50,0.03
Lipetsk Oblast,2023,Ñider,65.05,0.58,0.03
Moscow Oblast,2023,Ñider,889.66,1.04,0.05
Oryol Oblast,2023,Ñider,34.48,0.49,0.02
Ryazan Oblast,2023,Ñider,96.34,0.88,0.04
Smolensk Oblast,2023,Ñider,50.24,0.58,0.03
Tambov Oblast,2023,Ñider,37.43,0.39,0.02
Tver Oblast,2023,Ñider,77.22,0.64,0.03
Tula Oblast,2023,Ñider,117.52,0.79,0.04
Yaroslavl Oblast,2023,Ñider,115.68,0.97,0.05
Moscow,2023,Ñider,1307.33,1.00,0.05
Republic of Karelia,2023,Ñider,54.02,1.02,0.05
Komi Republic,2023,Ñider,53.25,0.73,0.04
Nenets Autonomous Okrug,2023,Ñider,1.60,0.39,0.02
Vologda Oblast,2023,Ñider,61.95,0.55,0.03
Kaliningrad Oblast,2023,Ñider,150.25,1.46,0.07
Leningrad Oblast,2023,Ñider,327.91,1.62,0.08
Murmansk Oblast,2023,Ñider,73.88,1.12,0.06
Novgorod Oblast,2023,Ñider,55.13,0.96,0.05
Pskov Oblast,2023,Ñider,70.35,1.20,0.06
Saint Petersburg,2023,Ñider,842.81,1.51,0.08
Arkhangelsk Oblast,2023,Ñider,81.74,0.85,0.04
Adygea,2023,Ñider,21.08,0.42,0.02
Kalmykia,2023,Ñider,16.08,0.61,0.03
Republic of Crimea,2023,Ñider,147.74,0.77,0.04
Krasnodar Krai,2023,Ñider,401.66,0.69,0.03
Astrakhan Oblast,2023,Ñider,22.28,0.23,0.01
Volgograd Oblast,2023,Ñider,86.38,0.35,0.02
Rostov Oblast,2023,Ñider,264.94,0.64,0.03
Sevastopol,2023,Ñider,31.95,0.57,0.03
Dagestan,2023,Ñider,40.73,0.13,0.01
Ingushetia,2023,Ñider,0.05,0.00,0.00
Kabardino-Balkaria,2023,Ñider,2.12,0.02,0.00
Karachay-Cherkessia,2023,Ñider,2.00,0.04,0.00
North Ossetia-Alania,2023,Ñider,4.64,0.07,0.00
Chechnya,2023,Ñider,4.06,0.03,0.00
Stavropol Krai,2023,Ñider,59.02,0.20,0.01
Bashkortostan,2023,Ñider,137.12,0.34,0.02
Mari El,2023,Ñider,28.17,0.42,0.02
Mordovia,2023,Ñider,25.06,0.32,0.02
Tatarstan,2023,Ñider,190.67,0.48,0.02
Udmurtia,2023,Ñider,66.87,0.46,0.02
Chuvashia,2023,Ñider,36.40,0.31,0.02
Perm Krai,2023,Ñider,136.16,0.54,0.03
Kirov Oblast,2023,Ñider,48.26,0.42,0.02
Nizhny Novgorod Oblast,2023,Ñider,271.54,0.88,0.04
Orenburg Oblast,2023,Ñider,56.32,0.31,0.02
Penza Oblast,2023,Ñider,45.64,0.37,0.02
Samara Oblast,2023,Ñider,154.67,0.49,0.02
Saratov Oblast,2023,Ñider,114.85,0.48,0.02
Ulyanovsk Oblast,2023,Ñider,51.70,0.44,0.02
Kurgan Oblast,2023,Ñider,26.80,0.35,0.02
Sverdlovsk Oblast,2023,Ñider,309.86,0.73,0.04
Khanty–Mansi Autonomous Okrug – Yugra,2023,Ñider,126.97,0.73,0.04
Yamalo-Nenets Autonomous Okrug,2023,Ñider,25.94,0.51,0.03
Chelyabinsk Oblast,2023,Ñider,196.31,0.58,0.03
Tyumen Oblast,2023,Ñider,172.32,1.07,0.05
Altai Republic,2023,Ñider,5.65,0.27,0.01
Tuva,2023,Ñider,1.75,0.05,0.00
Khakassia,2023,Ñider,13.97,0.26,0.01
Altai Krai,2023,Ñider,67.49,0.32,0.02
Krasnoyarsk Krai,2023,Ñider,112.24,0.39,0.02
Irkutsk Oblast,2023,Ñider,104.70,0.45,0.02
Kemerovo Oblast,2023,Ñider,125.58,0.49,0.02
Novosibirsk Oblast,2023,Ñider,253.05,0.91,0.05
Omsk Oblast,2023,Ñider,85.52,0.47,0.02
Tomsk Oblast,2023,Ñider,72.10,0.69,0.03
Buryatia,2023,Ñider,24.39,0.25,0.01
Sakha (Yakutia),2023,Ñider,67.31,0.67,0.03
Zabaykalsky Krai,2023,Ñider,19.67,0.20,0.01
Kamchatka Krai,2023,Ñider,24.33,0.84,0.04
Primorsky Krai,2023,Ñider,187.80,1.03,0.05
Khabarovsk Krai,2023,Ñider,156.91,1.22,0.06
Amur Oblast,2023,Ñider,37.01,0.49,0.02
Magadan Oblast,2023,Ñider,6.68,0.50,0.02
Sakhalin Oblast,2023,Ñider,44.57,0.97,0.05
Jewish Autonomous Oblast,2023,Ñider,9.19,0.62,0.03
Chukotka Autonomous Okrug,2023,Ñider,1.43,0.30,0.01
Belgorod Oblast,2017,Liqueurs,21.63,0.14,0.06
Bryansk Oblast,2017,Liqueurs,84.56,0.69,0.28
Vladimir Oblast,2017,Liqueurs,75.63,0.54,0.22
Voronezh Oblast,2017,Liqueurs,75.90,0.32,0.13
Ivanovo Oblast,2017,Liqueurs,61.06,0.61,0.25
Kaluga Oblast,2017,Liqueurs,64.09,0.61,0.24
Kostroma Oblast,2017,Liqueurs,38.79,0.62,0.25
Kursk Oblast,2017,Liqueurs,29.76,0.27,0.11
Lipetsk Oblast,2017,Liqueurs,41.03,0.35,0.14
Moscow Oblast,2017,Liqueurs,490.84,0.62,0.25
