Region,Year,Type of alcoholic beverages,Consumption of alcoholic beverages (thousands of decaliters),Consumption of alcoholic beverages (in liters per capita),Consumption of alcoholic beverages (in liters of pure alcohol per capita)
Smolensk Oblast,2020,Wine,347.92,3.80,0.42
Tambov Oblast,2020,Wine,207.53,2.06,0.23
Tver Oblast,2020,Wine,563.56,4.48,0.49
Tula Oblast,2020,Wine,528.44,3.48,0.38
Yaroslavl Oblast,2020,Wine,650.89,5.27,0.58
Moscow,2020,Wine,7039.17,5.44,0.60
Republic of Karelia,2020,Wine,397.99,7.23,0.79
Komi Republic,2020,Wine,383.48,5.02,0.55
Nenets Autonomous Okrug,2020,Wine,33.33,8.01,0.88
Vologda Oblast,2020,Wine,565.23,4.87,0.54
Kaliningrad Oblast,2020,Wine,627.07,6.18,0.68
Leningrad Oblast,2020,Wine,1320.94,6.77,0.74
Murmansk Oblast,2020,Wine,408.98,5.91,0.65
Novgorod Oblast,2020,Wine,269.02,4.54,0.50
Pskov Oblast,2020,Wine,286.74,4.68,0.51
Saint Petersburg,2020,Wine,4019.57,7.20,0.79
Arkhangelsk Oblast,2020,Wine,611.53,6.03,0.66
Adygea,2020,Wine,82.43,1.69,0.19
Kalmykia,2020,Wine,25.87,0.96,0.11
Republic of Crimea,2020,Wine,949.46,4.90,0.54
Krasnodar Krai,2020,Wine,2242.67,3.87,0.43
Astrakhan Oblast,2020,Wine,185.75,1.90,0.21
Volgograd Oblast,2020,Wine,562.85,2.23,0.25
Rostov Oblast,2020,Wine,890.61,2.11,0.23
Sevastopol,2020,Wine,311.05,5.95,0.66
Dagestan,2020,Wine,79.12,0.25,0.03
Ingushetia,2020,Wine,1.12,0.02,0.00
Kabardino-Balkaria,2020,Wine,30.85,0.34,0.04
Karachay-Cherkessia,2020,Wine,24.99,0.53,0.06
North Ossetia-Alania,2020,Wine,27.50,0.40,0.04
Chechnya,2020,Wine,6.20,0.04,0.00
Stavropol Krai,2020,Wine,457.07,1.57,0.17
Bashkortostan,2020,Wine,952.57,2.32,0.25
Mari El,2020,Wine,162.93,2.38,0.26
Mordovia,2020,Wine,148.10,1.85,0.20
Tatarstan,2020,Wine,990.88,2.48,0.27
Udmurtia,2020,Wine,446.12,3.03,0.33
Chuvashia,2020,Wine,273.49,2.27,0.25
Perm Krai,2020,Wine,933.12,3.62,0.40
Kirov Oblast,2020,Wine,459.71,3.85,0.42
Nizhny Novgorod Oblast,2020,Wine,1283.90,4.04,0.44
Orenburg Oblast,2020,Wine,478.47,2.52,0.28
Penza Oblast,2020,Wine,308.25,2.38,0.26
Samara Oblast,2020,Wine,1097.05,3.42,0.38
Saratov Oblast,2020,Wine,563.78,2.28,0.25
Ulyanovsk Oblast,2020,Wine,322.32,2.64,0.29
